code,name,time_zone,city,state,iso_code,country_name
URU,Uroubi,Pacific/Port_Moresby,Popondetta,Northern Province,PG,Papua New Guinea
URY,Gurayat Airport,Asia/Riyadh,Al Qurayyat,Al Jawf,SA,Saudi Arabia
URZ,Uruzgan,Asia/Kabul,Uruzgan,Oruzgan,AF,Afghanistan
USA,Concord-Padgett Regional Airport,America/New_York,Harrisburg,North Carolina,US,United States
USC,Union County Airport,America/New_York,Union,South Carolina,US,United States
USH,Malvinas Argentinas International Airport,America/Argentina/Ushuaia,Ushuaia,Tierra del Fuego Province,AR,Argentina
USI,Mabaruma,America/Guyana,Mabaruma,Barima-Waini,GY,Guyana
USJ,Usharal,Asia/Almaty,Sarkand,Almaty Oblysy,KZ,Kazakhstan
USK,Usinsk Airport,Europe/Moscow,Usinsk,Komi Republic,RU,Russia
USL,Useless Loop,Australia/Perth,Carnarvon,Western Australia,AU,Australia
USM,Koh Samui Airport,Asia/Bangkok,Ko Samui,Surat Thani,TH,Thailand
USN,Ulsan Airport,Asia/Seoul,Ulsan,Ulsan,KR,South Korea
USO,Usino,Pacific/Port_Moresby,,,PG,Papua New Guinea
USQ,Usak,Europe/Istanbul,Usak,Usak,TR,Turkey
USR,Ust-Nera Airport,Asia/Ust-Nera,Ust-Nera,Sakha,RU,Russia
USS,Sancti Spiritus,America/Havana,Sancti Spiritus,Sancti Spiritus,CU,Cuba
UST,St. Augustine Airport,America/New_York,Villano Beach,Florida,US,United States
USU,Busuanga Airport,Asia/Manila,,,PH,Philippines
UTA,Mutare,Africa/Harare,Mutare,Manicaland,ZW,Zimbabwe
UTB,Muttaburra,Australia/Brisbane,,,AU,Australia
UTC,Soesterberg,Europe/Amsterdam,De Bilt,Utrecht,NL,Netherlands
UTD,Nutwood Downs,Australia/Darwin,,,AU,Australia
UTG,Quthing,Africa/Maseru,Quthing,Quthing,LS,Lesotho
UTH,Udon Thani International Airport,Asia/Bangkok,Udon Thani,Changwat Udon Thani,TH,Thailand
UTI,Utti,Europe/Helsinki,Kouvola,Kymenlaakso,FI,Finland
UTK,Utirik Island,Pacific/Majuro,Utrik,Utrik Atoll,MH,Marshall Islands
UTL,Torremolinos,Europe/Madrid,Torremolinos,Andalusia,ES,Spain
UTM,Tunica Municipalcipal Airport,America/Chicago,Tunica,Mississippi,US,United States
UTN,Upington Airport,Africa/Johannesburg,Upington,Northern Cape,ZA,South Africa
UTO,Indian Mountain AFS,America/Anchorage,,,US,United States
UTP,Utapao Airport,Asia/Bangkok,Ban Chang,Rayong,TH,Thailand
UTR,Uttaradit,Asia/Bangkok,Uttaradit,Uttaradit,TH,Thailand
UTS,Ust-Tsilma,Europe/Moscow,Ust-Tsilma,Komi Republic,RU,Russia
UTT,Umtata Airport,Africa/Johannesburg,Mthatha,Eastern Cape,ZA,South Africa
UTU,Ustupo,America/Panama,El Porvenir,Guna Yala,PA,Panama
UTW,Queenstown,Africa/Johannesburg,Queenstown,Eastern Cape,ZA,South Africa
UUA,Bugulma Airport,Europe/Moscow,Bugul'ma,Tatarstan,RU,Russia
UUD,Ulan-Ude Airport,Asia/Irkutsk,Zarechnyy,Respublika Buryatiya,RU,Russia
UUK,Kuparuk,America/Anchorage,,,US,United States
UUN,Baruun-Urt,Asia/Choibalsan,Baruun-Urt,Suhbaatar,MN,Mongolia
UUS,Yuzhno-Sakhalinsk Airport,Asia/Srednekolymsk,Yuzhno-Sakhalinsk,Sakhalin,RU,Russia
UUU,Manumu,Pacific/Port_Moresby,,,PG,Papua New Guinea
UVA,Garner Field,America/Chicago,Uvalde,Texas,US,United States
UVE,Ouvea Airport,Pacific/Noumea,Fayaoue,Loyalty Islands,NC,New Caledonia
UVF,Hewanorra Airport,America/St_Lucia,Vieux Fort,Vieux-Fort,LC,Saint Lucia
UVI,União da Vitória Airport,America/Sao_Paulo,Porto Uniao,Santa Catarina,BR,Brazil
UVL,Kharga,Africa/Cairo,Al Kharijah,Muhafazat al Wadi al Jadid,EG,Egypt
UVO,Uvol,Pacific/Port_Moresby,,,PG,Papua New Guinea
UWA,Ware,America/New_York,Ware,Massachusetts,US,United States
UYL,Nyala,Africa/Khartoum,Nyala,Southern Darfur,SD,Sudan
UYN,Yulin Yuyang Airport,Asia/Shanghai,Yulin,Shaanxi,CN,China
UYU,Uyuni,America/La_Paz,Uyuni,Potosi,BO,Bolivia
UZC,Uzice-Ponikve,Europe/Belgrade,Bajina Basta,Central Serbia,RS,Serbia
UZH,Unayzah,Asia/Riyadh,Unaizah,Al-Qassim,SA,Saudi Arabia
UZM,Hope Bay,America/Cambridge_Bay,,,CA,Canada
UZR,Urzhar Airport,Asia/Almaty,Urzhar,East Kazakhstan,KZ,Kazakhstan
UZU,Curuzu Cuatia,America/Argentina/Cordoba,Curuzu Cuatia,Corrientes,AR,Argentina
