code,name,time_zone,city,state,iso_code,country_name
AAA,Anaa,Pacific/Tahiti,,,PF,French Polynesia
AAB,Arrabury Airport,Australia/Brisbane,Tanbar,Queensland,AU,Australia
AAC,El Arish International Airport,Africa/Cairo,Arish,Muhafazat Shamal Sina',EG,Egypt
AAD,Adado Airport,Africa/Khartoum,Adado,,SO,Somalia
AAE,Les Salines Airport,Africa/Algiers,El Hadjar,Annaba,DZ,Algeria
AAF,Apalachicola Regional,America/New_York,Apalachicola,Florida,US,United States
AAG,Arapoti,America/Sao_Paulo,Jaguariaiva,Parana,BR,Brazil
AAH,Aachen/Merzbruck,Europe/Berlin,,,DE,Germany
AAI,Arraias,America/Araguaina,Campos Belos,Goias,BR,Brazil
AAJ,Cayana Airstrip,America/Paramaribo,Kajana,Sipaliwini,SR,Suriname
AAK,Aranuka,Pacific/Tarawa,,,KI,Kiribati
AAL,Aalborg Airport,Europe/Copenhagen,Vadum,North Denmark,DK,Denmark
AAM,Mala Mala,Africa/Johannesburg,,,ZA,South Africa
AAN,Al Ain Airport,Asia/Dubai,,,AE,United Arab Emirates
AAO,Anaco,America/Caracas,Anaco,Anzoategui,VE,Venezuela
AAP,Andrau Airpark,America/Chicago,,,US,United States
AAQ,Anapa Airport,Europe/Moscow,Anapa,Krasnodarskiy,RU,Russia
AAR,Aarhus Airport,Europe/Copenhagen,Ebeltoft,Central Jutland,DK,Denmark
AAS,Apalapsili,Asia/Jayapura,,,ID,Indonesia
AAT,Altay Airport,Asia/Urumqi,Awiytan,Xinjiang Uygur Zizhiqu,CN,China
AAU,Asau,Pacific/Apia,Asau,Vaisigano,WS,Samoa
AAV,Allah Valley,Asia/Manila,Surallah,South Cotabato,PH,Philippines
AAW,Abbottabad,Asia/Karachi,Abbottabad,Khyber Pakhtunkhwa,PK,Pakistan
AAX,Araxa Airport,America/Sao_Paulo,Araxa,Minas Gerais,BR,Brazil
AAY,Al Ghaydah,Asia/Aden,Al Ghayzah,Al Mahrah,YE,Yemen
AAZ,Quetzaltenango,America/Guatemala,Olintepeque,Quetzaltenango,GT,Guatemala
ABA,Abakan Airport,Asia/Krasnoyarsk,Podsineye,Khakasiya,RU,Russia
ABB,Asaba International Airport,Africa/Lagos,Asaba,,NG,Nigeria
ABC,Los Llanos,Europe/Madrid,,,ES,Spain
ABD,Abadan Airport,Asia/Tehran,Abadan,Khuzestan,IR,Iran
ABE,Lehigh Valley International Airport,America/New_York,Catasauqua,Pennsylvania,US,United States
ABF,Abaiang,Pacific/Tarawa,Buota Village,Gilbert Islands,KI,Kiribati
ABG,Abingdon,Australia/Brisbane,,,AU,Australia
ABH,Alpha,Australia/Brisbane,,,AU,Australia
ABI,Abilene Regional Airport,America/Chicago,,,US,United States
ABJ,Felix Houphouet Boigny Airport,Africa/Abidjan,Abidjan,Lagunes,CI,Côte d'Ivoire
ABK,Kabri Dar,Africa/Addis_Ababa,,,ET,Ethiopia
ABL,Ambler Airport,America/Anchorage,,,US,United States
ABM,Northern Peninsula Airport,Australia/Brisbane,,,AU,Australia
ABN,Albina,America/Paramaribo,,,SR,Suriname
ABO,Aboisso,Africa/Abidjan,Aboisso,Sud-Comoe,CI,Côte d'Ivoire
ABP,Atkamba,Pacific/Port_Moresby,,,PG,Papua New Guinea
ABQ,Albuquerque International Sunport,America/Denver,Albuquerque,New Mexico,US,United States
ABR,Aberdeen Municipal Airport,America/Chicago,Aberdeen,South Dakota,US,United States
ABS,Abu Simbel,Africa/Cairo,,,EG,Egypt
ABT,Al-Aqiq Airport,Asia/Riyadh,Al Bahah,Mintaqat al Bahah,SA,Saudi Arabia
ABU,Haliwen Airport,Asia/Makassar,Atambua,East Nusa Tenggara,ID,Indonesia
ABV,Nnamdi Azikiwe International Airport,Africa/Lagos,Madala,Abuja Federal Capital Territory,NG,Nigeria
ABW,Abau,Pacific/Port_Moresby,,,PG,Papua New Guinea
ABX,Albury Airport,Australia/Sydney,East Albury,New South Wales,AU,Australia
ABY,Southwest Georgia Regional Airport,America/New_York,,,US,United States
ABZ,Aberdeen International Airport,Europe/London,Dyce,Scotland,GB,United Kingdom
ACA,Acapulco International Airport,America/Mexico_City,10 de Abril,Guerrero,MX,Mexico
ACB,Antrim County,America/Detroit,Bellaire,Michigan,US,United States
ACC,Kotoka International Airport,Africa/Accra,Accra,Greater Accra,GH,Ghana
ACD,Acandi,America/Bogota,,,CO,Colombia
ACE,Lanzarote Airport,Atlantic/Canary,Tias,Canary Islands,ES,Spain
ACF,Alaer Talimu Airport,Asia/Urumqi,Aral,Xinjian Autonomous Region,CN,China
ACH,Altenrhein Airport,Europe/Zurich,Rheineck,Saint Gallen,CH,Switzerland
ACI,Alderney Airport,Europe/Guernsey,Beaumont-Hague,Lower Normandy,GB,United Kingdom
ACJ,Anuradhapura,Asia/Colombo,Anuradhapura,North Central,LK,Sri Lanka
ACK,Nantucket Memorial Airport,America/New_York,Nantucket,Massachusetts,US,United States
ACL,Aguaclara,America/Bogota,Sabanalarga,Casanare,CO,Colombia
ACM,Arica,America/Bogota,Pebas,Loreto,CO,Colombia
ACN,International,America/Matamoros,,,MX,Mexico
ACO,Cobano Airport,America/Costa_Rica,Cobano,Puntarenas Province,CR,Costa Rica
ACP,Sahand,Asia/Tehran,Bonab,East Azerbaijan,IR,Iran
ACR,Araracuara,America/Bogota,,,CO,Colombia
ACS,Achinsk,Asia/Krasnoyarsk,Achinsk,Krasnoyarskiy,RU,Russia
ACT,Waco Municipal Airport,America/Chicago,Gholson,Texas,US,United States
ACU,Achutupo,America/Panama,Portobelo,Colon,PA,Panama
ACV,Arcata-Eureka Airport,America/Los_Angeles,McKinleyville,California,US,United States
ACX,Xingyi Airport,Asia/Shanghai,Xinzhou,Guangxi Zhuangzu Zizhiqu,CN,China
ACY,Atlantic City International Airport,America/New_York,Pomona,New Jersey,US,United States
ACZ,Zabol Airport,Asia/Tehran,Zabol,Sistan and Baluchestan,IR,Iran
ADA,Adana Airport,Europe/Istanbul,Seyhan,Adana,TR,Turkey
ADB,Izmir Adnan Menderes Airport,Europe/Istanbul,,,TR,Turkey
ADC,Andakombe,Pacific/Port_Moresby,,,PG,Papua New Guinea
ADD,Addis Ababa Bole International Airport,Africa/Addis_Ababa,Addis Ababa,Adis Abeba,ET,Ethiopia
ADE,International,Asia/Aden,Khawr Maksar,Aden,YE,Yemen
ADF,Adiyaman Airport,Europe/Istanbul,Adiyaman,Adiyaman,TR,Turkey
ADG,Lenawee County,America/Detroit,Adrian,Michigan,US,United States
ADH,Aldan,Asia/Yakutsk,Aldan,Sakha,RU,Russia
ADJ,Marka International Airport,Asia/Amman,Amman,Amman,JO,Jordan
ADK,Adak Island Ns,America/Adak,,,US,United States
ADL,Adelaide Airport,Australia/Adelaide,Plympton,South Australia,AU,Australia
ADM,Ardmore Municipal Airport,America/Chicago,Dickson,Oklahoma,US,United States
ADN,Andes,America/Bogota,Los Andes,Antioquia,CO,Colombia
ADO,Andamooka,Australia/Adelaide,,,AU,Australia
ADP,Ampara,Asia/Colombo,,,LK,Sri Lanka
ADQ,Kodiak Benny Benson State Airport,America/Anchorage,,,US,United States
ADR,Andrews,America/New_York,Andrews,South Carolina,US,United States
ADS,Addison Airport,America/Chicago,Haltom City,Texas,US,United States
ADT,Ada Municipal,America/Chicago,Ada,Oklahoma,US,United States
ADU,Ardabil Airport,Asia/Tehran,Namin,Ardabil,IR,Iran
ADV,El Daein,Africa/Khartoum,El Daein,Eastern Darfur,SD,Sudan
ADW,Andrews AFB,America/New_York,Andrews AFB,Maryland,US,United States
ADX,Leuchars,Europe/London,Leuchars,Scotland,GB,United Kingdom
ADY,Alldays,Africa/Johannesburg,,,ZA,South Africa
ADZ,Gustavo Rojas Pinilla Airport,America/Bogota,San Andres,"Archipielago de San Andres, Providencia y Santa Catalina",CO,Colombia
AEA,Abemama Atoll,Pacific/Tarawa,,,KI,Kiribati
AEB,Youjiang,Asia/Shanghai,Tianzhou,Guangxi Zhuangzu Zizhiqu,CN,China
AED,Aleneva,America/Anchorage,,,US,United States
AEE,Adareil Airport,Africa/Juba,,,SS,South Sudan
AEG,Aek Godang,Asia/Jakarta,Padangsidempuan,North Sumatra,ID,Indonesia
AEH,Abéché,Africa/Ndjamena,Abeche,Ouaddai,TD,Chad
AEI,Algeciras,Europe/Madrid,Algeciras,Andalusia,ES,Spain
AEK,Aseki,Pacific/Port_Moresby,,,PG,Papua New Guinea
AEL,Albert Lea,America/Chicago,Albert Lea,Minnesota,US,United States
AEM,Amgu,Asia/Vladivostok,,,RU,Russia
AEO,Aioun El Atrouss,Africa/Nouakchott,,,MR,Mauritania
AEP,Jorge Newbery Airport,America/Argentina/Buenos_Aires,Colegiales,Buenos Aires F.D.,AR,Argentina
AEQ,Ar Horqin Airport,Asia/Shanghai,Tianshan,Inner Mongolia,CN,China
AER,Sochi International Airport,Europe/Moscow,Orel-Izumrud,Krasnodarskiy,RU,Russia
AES,Vigra Alesund Airport,Europe/Oslo,Valderoy,More og Romsdal,NO,Norway
AET,Allakaket,America/Anchorage,,,US,United States
AEU,Abu Musa,Asia/Tehran,,,IR,Iran
AEX,Alexandria International Airport,America/Chicago,Alexandria,Louisiana,US,United States
AEY,Akureyri Airport,Atlantic/Reykjavik,Akureyri,Northeast,IS,Iceland
AFA,San Rafael Airport,America/Argentina/Mendoza,San Rafael,Mendoza,AR,Argentina
AFD,Port Alfred,Africa/Johannesburg,,,ZA,South Africa
AFF,USAF Academy Airstrip,America/Denver,Cimarron Hills,Colorado,US,United States
AFI,Amalfi,America/Bogota,Amalfi,Antioquia,CO,Colombia
AFK,Ampara Kondavattavan Tank Airport,Asia/Colombo,Ampara,,LK,Sri Lanka
AFL,Alta Floresta Airport,America/Cuiaba,,,BR,Brazil
AFN,Municipal,America/New_York,Jaffrey,New Hampshire,US,United States
AFO,Municipal,America/Denver,Afton,Wyoming,US,United States
AFR,Afore,Pacific/Port_Moresby,,,PG,Papua New Guinea
AFS,Zarafshan,Asia/Samarkand,Tomdibuloq,Navoiy,UZ,Uzbekistan
AFT,Afutara Aerodrome,Pacific/Guadalcanal,,,SB,Solomon Islands
AFW,Fort Worth Alliance Airport,America/Chicago,Haslet,Texas,US,United States
AFY,Afyon,Europe/Istanbul,Afyonkarahisar,Afyonkarahisar,TR,Turkey
AFZ,Sabzevar,Asia/Tehran,Sabzevar,Razavi Khorasan,IR,Iran
AGA,Agadir Al Massira Airport,Africa/Casablanca,Inezgane,Souss-Massa-Draa,MA,Morocco
AGB,Augsburg Airport,Europe/Berlin,Rehling,Bavaria,DE,Germany
AGC,Allegheny County Airport,America/New_York,Pleasant Hills,Pennsylvania,US,United States
AGD,Anggi,Asia/Jayapura,Warmare,West Papua,ID,Indonesia
AGE,Flugplatz,Europe/Berlin,Wangerooge,Lower Saxony,DE,Germany
AGF,La Garenne Airport,Europe/Paris,Le Passage,Aquitaine,FR,France
AGG,Angoram,Pacific/Port_Moresby,,,PG,Papua New Guinea
AGH,Angelholm Helsingborg Airport,Europe/Stockholm,,,SE,Sweden
AGI,Wageningen,America/Paramaribo,Wageningen,Nickerie,SR,Suriname
AGJ,Aguni,Asia/Tokyo,,,JP,Japan
AGK,Kagua,Pacific/Port_Moresby,,,PG,Papua New Guinea
AGL,Wanigela,Pacific/Port_Moresby,,,PG,Papua New Guinea
AGM,Tasiilaq,America/Godthab,,,GL,Greenland
AGN,Angoon,America/Juneau,,,US,United States
AGO,Municipal,America/Chicago,Magnolia,Arkansas,US,United States
AGP,Malaga Airport,Europe/Madrid,,,ES,Spain
AGQ,Agrinion,Europe/Athens,Dhokimion,West Greece,GR,Greece
AGR,Kheria,Asia/Kolkata,Agra,Uttar Pradesh,IN,India
AGS,Augusta Regional Airport,America/New_York,,,US,United States
AGT,Alejo Garcia Airport,America/Asuncion,Colonia Yguazu,Alto Parana,PY,Paraguay
AGU,Aguascalients International Airport,America/Mexico_City,Penuelas (El Cienegal),Aguascalientes,MX,Mexico
AGV,Acarigua,America/Caracas,Araure,Portuguesa,VE,Venezuela
AGW,Agnew,Australia/Brisbane,,,AU,Australia
AGX,Agatti Island Airport,Asia/Kolkata,Kavaratti,Laccadives,IN,India
AGZ,Aggeneys,Africa/Johannesburg,Pofadder,Northern Cape,ZA,South Africa
AHA,Naha AFB,Asia/Tokyo,,,JP,Japan
AHB,Abha Regional Airport,Asia/Riyadh,,,SA,Saudi Arabia
AHC,Amedee AAF,America/Los_Angeles,Janesville,California,US,United States
AHD,Downtown,America/Chicago,Ardmore,Oklahoma,US,United States
AHE,Ahe Airport,Pacific/Tahiti,,,PF,French Polynesia
AHF,Municipal,America/Chicago,Arapahoe,Nebraska,US,United States
AHH,Municipal,America/Chicago,Amery,Wisconsin,US,United States
AHI,Amahai,Asia/Jayapura,Amahai,Maluku,ID,Indonesia
AHJ,Hongyuan Airport,Asia/Shanghai,Qiongxi,Sichuan,CN,China
AHL,Aishalton,America/Guyana,,,GY,Guyana
AHM,Sumner Parker Field,America/Los_Angeles,Ashland,Oregon,US,United States
AHN,Athens-Ben Epps,America/New_York,Winterville,Georgia,US,United States
AHO,Alghero-Fertilia Airport,Europe/Rome,Alghero,Sardinia,IT,Italy
AHS,Ahuas,America/Tegucigalpa,Wawina,Gracias a Dios,HN,Honduras
AHU,Charif Al Idrissi Airport,Africa/Casablanca,Imzourene,Taza-Al Hoceima-Taounate,MA,Morocco
AHW,Saih Rawl,Asia/Tehran,,,OM,Oman
AHY,Ambatolahy,Indian/Antananarivo,,,MG,Madagascar
AHZ,Alpe D Huez,Europe/Paris,Huez,Rhone-Alpes,FR,France
AIA,Alliance Airport,America/Denver,Alliance,Nebraska,US,United States
AIC,Airok,Pacific/Majuro,,,MH,Marshall Islands
AID,Municipal,America/Indiana/Indianapolis,Anderson,Indiana,US,United States
AIE,Aiome,Pacific/Port_Moresby,,,PG,Papua New Guinea
AIF,Assis,America/Sao_Paulo,Assis,Sao Paulo,BR,Brazil
AIG,Yalinga,Africa/Bangui,,,CF,Central African Republic
AIH,Aiambak,Pacific/Port_Moresby,,,PG,Papua New Guinea
AII,Alisabieh,Africa/Djibouti,'Ali Sabieh,Ali Sabieh,DJ,Djibouti
AIK,Municipal,America/New_York,Aiken,South Carolina,US,United States
AIL,Ailigandi,America/Panama,Ailigandi,Guna Yala,PA,Panama
AIM,Ailuk Island,Pacific/Majuro,,,MH,Marshall Islands
AIN,Wainwright,America/Anchorage,,,US,United States
AIO,Municipal,America/Chicago,Atlantic,Iowa,US,United States
AIP,Ailinglapalap Island,Pacific/Majuro,,,MH,Marshall Islands
AIR,Aripuana,America/Cuiaba,,,BR,Brazil
AIS,Arorae Island,Pacific/Tarawa,Kulia Village,Niutao,KI,Kiribati
AIT,Aitutaki Airport,Pacific/Rarotonga,,,CK,Cook Islands
AIU,Atiu Island,Pacific/Rarotonga,,,CK,Cook Islands
AIV,George Downer,America/Chicago,Aliceville,Alabama,US,United States
AIY,Bader Field,America/New_York,,,US,United States
AIZ,Lee C Fine Memorial,America/Chicago,,,US,United States
AJA,Ajaccio Napoleon Bonaparte Airport,Europe/Paris,Ajaccio,Corsica,FR,France
AJF,Jouf Airport,Asia/Riyadh,Sakaka,Al Jawf,SA,Saudi Arabia
AJI,Agri Airport,Europe/Istanbul,Hamur,Agri,TR,Turkey
AJJ,Akjoujt,Africa/Nouakchott,Akjoujt,Inchiri,MR,Mauritania
AJK,Araak,Asia/Tehran,Arak,Markazi,IR,Iran
AJL,Aizawl Airport,Asia/Kolkata,Sairang,Mizoram,IN,India
AJN,Ouani,Indian/Comoro,Ouani,Anjouan,KM,Comoros
AJR,Arvidsjaur Airport,Europe/Stockholm,Arvidsjaur,Norrbotten,SE,Sweden
AJS,Abreojos,America/Mazatlan,Bahia Asuncion,Baja California Sur,MX,Mexico
AJU,Aracaju Airport,America/Maceio,Aracaju,Sergipe,BR,Brazil
AJY,Agades,Africa/Niamey,Agadez,Agadez,NE,Niger
AKA,Ankang,Asia/Chongqing,Ankang,Shaanxi,CN,China
AKB,Atka,America/Adak,,,US,United States
AKC,Fulton International,America/New_York,Sawyerwood,Ohio,US,United States
AKD,Akola,Asia/Kolkata,Akola,Maharashtra,IN,India
AKE,Akieni,Africa/Libreville,,,GA,Gabon
AKF,Kufrah,Africa/Tripoli,Al Jawf,Al Kufrah,LY,Libya
AKG,Anguganak,Pacific/Port_Moresby,,,PG,Papua New Guinea
AKH,Prince Sultan Air Base,Asia/Riyadh,Ad Dilam,Ar Riyad,SA,Saudi Arabia
AKI,Akiak,America/Anchorage,,,US,United States
AKJ,Asahikawa Airport,Asia/Tokyo,Asahikawa,Hokkaido,JP,Japan
AKK,Akhiok SPB,America/Anchorage,,,US,United States
AKL,Auckland Airport,Pacific/Auckland,Mangere,Auckland,NZ,New Zealand
AKM,Zakouma,Africa/Ndjamena,,,TD,Chad
AKN,King Salmon Airport,America/Anchorage,,,US,United States
AKO,Colorado Plains Regional Airport,America/Denver,Akron,Colorado,US,United States
AKP,Anaktuvuk,America/Anchorage,,,US,United States
AKQ,Gunung Batin,Asia/Jakarta,Menggala,Lampung,ID,Indonesia
AKR,Akure,Africa/Lagos,Owena,Ondo,NG,Nigeria
AKS,Gwaunaru'u,Pacific/Guadalcanal,,,SB,Solomon Islands
AKT,Raf Akrotiri,Asia/Nicosia,Kolossi,Larnaka,CY,Cyprus
AKU,Aksu Airport,Asia/Shanghai,,,CN,China
AKV,Akulivik,America/Iqaluit,,,CA,Canada
AKW,Aghajari,Asia/Tehran,Omidiyeh,Khuzestan,IR,Iran
AKX,Aktyubinsk Airport,Asia/Aqtobe,Aqtobe,Aqtoebe,KZ,Kazakhstan
AKY,Civil Airport,Asia/Rangoon,,,MM,Myanmar
ALA,Almaty Airport,Asia/Almaty,Pervomayskiy,Almaty Oblysy,KZ,Kazakhstan
ALB,Albany International Airport,America/New_York,Colonie,New York,US,United States
ALC,Alicante-Elche Airport,Europe/Madrid,,,ES,Spain
ALD,Alerta,America/Lima,,,PE,Peru
ALE,Alpine,America/Chicago,Alpine,Texas,US,United States
ALF,Alta Airport,Europe/Oslo,Alta,Finnmark Fylke,NO,Norway
ALG,Houari Boumediene Airport,Africa/Algiers,Dar el Beida,Alger,DZ,Algeria
ALH,Albany Airport,Australia/Perth,Albany,Western Australia,AU,Australia
ALI,International,America/Chicago,Alice,Texas,US,United States
ALJ,Alexander Bay Airport,Africa/Johannesburg,,,ZA,South Africa
ALK,Asela,Africa/Addis_Ababa,Huruta,Oromiya,ET,Ethiopia
ALL,Albenga,Europe/Rome,Albenga,Liguria,IT,Italy
ALM,Municipal,America/Denver,Boles Acres,New Mexico,US,United States
ALN,Alton,America/Chicago,Bethalto,Illinois,US,United States
ALO,Waterloo Airport,America/Chicago,Cedar Falls,Iowa,US,United States
ALP,Nejrab,Asia/Damascus,Aleppo,Aleppo,SY,Syria
ALQ,Federal,America/Sao_Paulo,Alegrete,Rio Grande do Sul,BR,Brazil
ALR,Alexandra,Pacific/Auckland,,,NZ,New Zealand
ALS,Alamosa Municipal Airport,America/Denver,Alamosa,Colorado,US,United States
ALT,Alenquer,America/Santarem,Alenquer,Para,BR,Brazil
ALU,Alula,Africa/Mogadishu,Bereeda,Bari,SO,Somalia
ALW,Walla Walla Airport,America/Los_Angeles,Walla Walla East,Washington,US,United States
ALX,Thomas C Russell Field,America/Chicago,Alexander City,Alabama,US,United States
ALY,El Nohza,Africa/Cairo,,,EG,Egypt
ALZ,Alitak SPB,America/Anchorage,,,US,United States
AMA,Rick Husband Amarillo International Airport,America/Chicago,,,US,United States
AMB,Ambilobe,Indian/Antananarivo,Ambilobe,Diana,MG,Madagascar
AMC,Am Timan,Africa/Ndjamena,Am Timan,Salamat,TD,Chad
AMD,Ahmedabad Airport,Asia/Kolkata,Naroda,Gujarat,IN,India
AME,Alto Molocue,Africa/Maputo,,,MZ,Mozambique
AMF,Ama,Pacific/Port_Moresby,,,PG,Papua New Guinea
AMG,Amboin,Pacific/Port_Moresby,,,PG,Papua New Guinea
AMH,Arba Mintch Airport,Africa/Addis_Ababa,Arba Minch',"Southern Nations, Nationalities, and People's Region",ET,Ethiopia
AMI,Selaparang,Asia/Makassar,Mataram,West Nusa Tenggara,ID,Indonesia
AMJ,Almenara,America/Sao_Paulo,Almenara,Minas Gerais,BR,Brazil
AMK,Animas Airpark,America/Denver,,,US,United States
AML,Puerto Armuellas,America/Panama,Puerto Armuelles,Chiriqui,PA,Panama
AMM,Queen Alia International Airport,Asia/Amman,Al Jizah,Amman,JO,Jordan
AMN,Gratiot Community,America/Detroit,Alma,Michigan,US,United States
AMO,Mao,Africa/Ndjamena,Mao,Kanem,TD,Chad
AMP,Ampanihy,Indian/Antananarivo,Ampanihy,Atsimo-Andrefana,MG,Madagascar
AMQ,Pattimura Airport,Asia/Jayapura,Amahusu,Maluku,ID,Indonesia
AMR,Arno,Pacific/Majuro,,,MH,Marshall Islands
AMS,Amsterdam Airport Schiphol,Europe/Amsterdam,Aalsmeer,North Holland,NL,Netherlands
AMT,Amata,Australia/Adelaide,,,AU,Australia
AMU,Amanab,Pacific/Port_Moresby,,,PG,Papua New Guinea
AMV,Amderma,Europe/Moscow,Vorgashor,Komi Republic,RU,Russia
AMW,Ames,America/Chicago,Ames,Iowa,US,United States
AMX,Ammaroo,Australia/Darwin,,,AU,Australia
AMY,Ambatomainty,Indian/Antananarivo,,,MG,Madagascar
AMZ,Ardmore,Pacific/Auckland,Red Hill,Auckland,NZ,New Zealand
ANA,John Wayne International,America/Los_Angeles,Anaheim,California,US,United States
ANB,Anniston Metropolitan,America/Chicago,Oxford,Alabama,US,United States
ANC,Ted Stevens Anchorage International Airport,America/Anchorage,,,US,United States
AND,Anderson,America/New_York,Centerville,South Carolina,US,United States
ANE,Angers-Marce Airport,Europe/Paris,,,FR,France
ANF,Cerro Moreno International Airport,America/Santiago,Antofagasta,Antofagasta,CL,Chile
ANG,Brie-Champniers,Europe/Paris,Champniers,Poitou-Charentes,FR,France
ANH,Anuha Island Resort,Pacific/Guadalcanal,,,SB,Solomon Islands
ANI,Aniak Airport,America/Anchorage,,,US,United States
ANJ,Zanaga,Africa/Brazzaville,,,CG,Congo
ANK,Etimesgut,Europe/Istanbul,Batikent,Ankara,TR,Turkey
ANL,Andulo,Africa/Luanda,Camacupa,Bie,AO,Angola
ANM,Antsirabato,Indian/Antananarivo,Antalaha,Sava,MG,Madagascar
ANN,Annette Island,America/Metlakatla,,,US,United States
ANO,Angoche,Africa/Maputo,,,MZ,Mozambique
ANP,Lee,America/New_York,Annapolis,Maryland,US,United States
ANQ,Tri-State Steuben County,America/Indiana/Indianapolis,Angola,Indiana,US,United States
ANR,Antwerp International Airport,Europe/Brussels,Mortsel,Flanders,BE,Belgium
ANS,Andahuaylas,America/Lima,San Jeronimo,Apurimac,PE,Peru
ANT,St Anton,Europe/Vienna,Sankt Anton am Arlberg,Tyrol,AT,Austria
ANU,V.C. Bird International Airport,America/Antigua,Parham,Saint Peter,AG,Antigua and Barbuda
ANV,Anvik Airport,America/Anchorage,,,US,United States
ANW,Ainsworth,America/Chicago,Ainsworth,Nebraska,US,United States
ANX,Andenes Airport,Europe/Oslo,Andenes,Nordland,NO,Norway
ANY,Anthony,America/Chicago,Anthony,Kansas,US,United States
ANZ,Angus Downs,Australia/Darwin,,,AU,Australia
AOA,Aroa,Pacific/Port_Moresby,,,PG,Papua New Guinea
AOB,Annanberg,Pacific/Port_Moresby,,,PG,Papua New Guinea
AOC,Altenburg Nobitz,Europe/Berlin,Altenburg,Thuringia,DE,Germany
AOD,Abou Deia,Africa/Ndjamena,,,TD,Chad
AOE,Anadolu University,Europe/Istanbul,,,TR,Turkey
AOG,Anshan Teng'ao Airport,Asia/Shanghai,Anshan,Liaoning,CN,China
AOH,Allen County,America/New_York,Lima,Ohio,US,United States
AOI,Ancona Falconara Airport,Europe/Rome,Falconara Marittima,The Marches,IT,Italy
AOJ,Aomori Airport,Asia/Tokyo,,,JP,Japan
AOK,Karpathos Airport,Europe/Athens,Karpathos,South Aegean,GR,Greece
AOL,Paso De Los Libres,America/Argentina/Cordoba,Paso de los Libres,Corrientes,AR,Argentina
AOM,Adam Airport,Asia/Muscat,,,OM,Oman
AON,Arona,Pacific/Port_Moresby,,,PG,Papua New Guinea
AOO,Altoona Airport,America/New_York,Martinsburg,Pennsylvania,US,United States
AOP,Alferez FAP Alfredo Vladimir Sara Bauer Airport,America/Lima,Alianza Cristiana,Loreto,PE,Peru
AOR,Sultan Abdul Halim Airport,Asia/Kuala_Lumpur,Jitra,Kedah,MY,Malaysia
AOS,Amook,America/Anchorage,,,US,United States
AOT,Corrado Gex,Europe/Rome,Chef-Lieu,Aosta Valley,IT,Italy
AOU,Attopeu,Asia/Vientiane,Attapu,Attapu,LA,Laos
APA,Centennial Airport,America/Denver,,,US,United States
APB,Apolo,America/La_Paz,Mapiri,La Paz,BO,Bolivia
APC,Napa County,America/Los_Angeles,American Canyon,California,US,United States
APE,San Juan Aposento,America/Lima,,,PE,Peru
APF,Naples Municipal Airport,America/New_York,Naples,Florida,US,United States
APG,Phillips AAF,America/New_York,Aberdeen,Maryland,US,United States
APH,Camp A P Hill,America/New_York,Bowling Green,Virginia,US,United States
API,Apiay,America/Bogota,Puerto Lopez,Meta,CO,Colombia
APJ,Ngari Burang Airport,Asia/Shanghai,Burang,Ngari Prefecture,CN,China
APK,Apataki,Pacific/Tahiti,,,PF,French Polynesia
APL,Nampula Airport,Africa/Maputo,Nampula,Nampula,MZ,Mozambique
APN,Alpena County Regional Airport,America/Detroit,Alpena,Michigan,US,United States
APO,Apartado Airport,America/Bogota,Carepa,Antioquia,CO,Colombia
APP,Asapa,Pacific/Port_Moresby,,,PG,Papua New Guinea
APQ,Arapiraca,America/Maceio,Arapiraca,Alagoas,BR,Brazil
APR,April River,Pacific/Port_Moresby,,,PG,Papua New Guinea
APS,Anapolis,America/Sao_Paulo,Anapolis,Goias,BR,Brazil
APT,Marion County,America/Chicago,Powells Crossroads,Tennessee,US,United States
APU,Apucarana,America/Sao_Paulo,,,BR,Brazil
APV,Apple Valley,America/Los_Angeles,Apple Valley,California,US,United States
APW,Faleolo Airport,Pacific/Apia,Satapuala,A'ana,WS,Samoa
APX,Arapongas,America/Sao_Paulo,Apucarana,Parana,BR,Brazil
APY,Alto Parnaiba,America/Fortaleza,Morros,Maranhao,BR,Brazil
APZ,Zapala,America/Argentina/Salta,Zapala,Neuquen,AR,Argentina
AQA,Araraquara,America/Sao_Paulo,Araraquara,Sao Paulo,BR,Brazil
AQB,Quiche Airport,America/Guatemala,Santa Cruz del Quiche,Quiche,GT,Guatemala
AQG,Anqing Tianzhushan Airport,Asia/Shanghai,Anqing,Anhui Sheng,CN,China
AQI,Qaisumah Airport,Asia/Riyadh,Al Qaysumah,Eastern Province,SA,Saudi Arabia
AQJ,King Hussein International Airport,Asia/Amman,Aqaba,Aqaba,JO,Jordan
AQM,Ariquemes,America/Porto_Velho,Ariquemes,Rondonia,BR,Brazil
AQP,Rodriguez Ballon International Airport,America/Lima,Arequipa,Arequipa,PE,Peru
AQS,Saqani,Pacific/Fiji,,,FJ,Fiji
AQY,Alyeska,America/Anchorage,,,US,United States
ARA,Acadiana Regional,America/Chicago,Cade,Louisiana,US,United States
ARB,Municipal,America/Detroit,Ann Arbor,Michigan,US,United States
ARC,Arctic Village,America/Anchorage,,,US,United States
ARD,Alor Island Airport,Asia/Makassar,Sifala,East Nusa Tenggara,ID,Indonesia
ARE,Arecibo,America/Puerto_Rico,Bajadero,Arecibo,PR,Puerto Rico
ARF,Acaricuara,America/Bogota,,,CO,Colombia
ARG,Walnut Ridge,America/Chicago,Walnut Ridge,Arkansas,US,United States
